Epoch,Average reward,Min reward,Max reward,Cumulative Reward
1,2.0,0.0,10.0,20.0
2,0.0,0.0,0.0,0.0
3,3.0,0.0,10.0,30.0
4,1.0,0.0,10.0,10.0
5,1.0,0.0,10.0,10.0
6,2.0,0.0,10.0,20.0
7,0.0,0.0,0.0,0.0
8,1.0,0.0,10.0,10.0
9,2.0,0.0,10.0,20.0
10,4.0,0.0,10.0,40.0
11,1.0,0.0,10.0,10.0
12,1.0,0.0,10.0,10.0
13,2.0,0.0,10.0,20.0
14,0.0,0.0,0.0,0.0
15,2.0,0.0,10.0,20.0
16,0.0,0.0,0.0,0.0
17,1.0,0.0,10.0,10.0
18,0.0,0.0,0.0,0.0
19,3.0,0.0,10.0,30.0
20,2.0,0.0,10.0,20.0
21,2.0,0.0,10.0,20.0
22,1.0,0.0,10.0,10.0
23,0.0,0.0,0.0,0.0
24,2.0,0.0,10.0,20.0
25,0.0,0.0,0.0,0.0
26,1.0,0.0,10.0,10.0
27,0.0,0.0,0.0,0.0
28,3.0,0.0,10.0,30.0
