Epoch,Average reward,Min reward,Max reward,Cumulative Reward
1,0.9,0.0,5.0,9.0
2,1.6,0.0,4.0,16.0
3,2.3,0.0,8.0,23.0
4,0.6,0.0,2.0,6.0
5,2.0,0.0,12.0,20.0
6,0.5,0.0,2.0,5.0
7,1.9,0.0,7.0,19.0
8,1.3,0.0,3.0,13.0
9,0.9,0.0,2.0,9.0
10,1.3,0.0,3.0,13.0
11,2.2,0.0,7.0,22.0
12,2.1,0.0,4.0,21.0
13,3.2,0.0,6.0,32.0
14,2.5,0.0,4.0,25.0
15,3.3,0.0,10.0,33.0
16,3.3,0.0,11.0,33.0
17,1.9,0.0,7.0,19.0
18,1.6,0.0,6.0,16.0
19,2.8,1.0,10.0,28.0
20,2.1,0.0,3.0,21.0
21,0.9,0.0,3.0,9.0
22,2.0,0.0,8.0,20.0
23,0.1,0.0,1.0,1.0
24,1.1,0.0,3.0,11.0
25,0.2,0.0,2.0,2.0
26,1.0,0.0,3.0,10.0
27,0.9,0.0,4.0,9.0
28,0.8,0.0,3.0,8.0
29,1.1,0.0,8.0,11.0
30,2.6,0.0,12.0,26.0
31,0.5,0.0,2.0,5.0
32,1.3,0.0,4.0,13.0
33,1.2,0.0,6.0,12.0
34,1.2,0.0,6.0,12.0
35,2.7,0.0,7.0,27.0
36,2.3,0.0,8.0,23.0
37,1.4,0.0,7.0,14.0
38,0.0,0.0,0.0,0.0
39,2.0,0.0,5.0,20.0
40,2.4,0.0,10.0,24.0
41,1.5,0.0,3.0,15.0
42,1.8,0.0,10.0,18.0
43,2.2,0.0,6.0,22.0
44,1.9,0.0,11.0,19.0
45,1.1,0.0,5.0,11.0
46,3.2,0.0,8.0,32.0
47,1.5,0.0,6.0,15.0
48,0.1,0.0,1.0,1.0
49,0.8,0.0,4.0,8.0
50,2.1,0.0,5.0,21.0
51,2.7,0.0,8.0,27.0
52,1.4,0.0,5.0,14.0
53,1.1,0.0,3.0,11.0
54,0.8,0.0,4.0,8.0
55,1.1,0.0,5.0,11.0
56,0.8,0.0,3.0,8.0
57,1.4,0.0,4.0,14.0
58,1.3,0.0,4.0,13.0
59,1.3,0.0,4.0,13.0
60,2.3,0.0,8.0,23.0
61,1.3,0.0,7.0,13.0
62,0.8,0.0,5.0,8.0
63,2.2,0.0,5.0,22.0
64,0.7,0.0,5.0,7.0
65,1.3,0.0,4.0,13.0
66,1.0,0.0,4.0,10.0
67,0.5,0.0,2.0,5.0
68,1.4,0.0,5.0,14.0
69,1.6,0.0,9.0,16.0
70,2.2,0.0,8.0,22.0
71,2.7,0.0,9.0,27.0
